age,sex,bmi,children,smoker,region
0.30434782608695654,0.0,0.4191552327145547,0.2,1.0,1.0
0.23913043478260876,0.0,0.4344901802528921,0.4,1.0,0.6666666666666666
0.043478260869565244,0.0,0.3669626042507398,0.0,1.0,0.0
0.6304347826086956,0.0,0.2862523540489642,0.4,1.0,1.0
0.6304347826086956,1.0,0.5442561205273069,0.0,0.0,0.3333333333333333
0.8260869565217392,1.0,0.42588108689803594,0.4,0.0,0.3333333333333333
0.4130434782608696,1.0,0.5679311272531611,0.2,0.0,0.3333333333333333
0.5217391304347826,1.0,0.27858488027979555,0.2,1.0,0.6666666666666666
0.043478260869565244,1.0,0.32203389830508466,0.0,1.0,1.0
0.8260869565217392,1.0,0.4779391982781813,0.0,1.0,0.6666666666666666
0.8913043478260869,1.0,0.34503631961259074,0.0,1.0,0.6666666666666666
0.19565217391304346,1.0,0.40812483185364534,0.2,0.0,0.3333333333333333
0.9130434782608696,1.0,0.5648372343287597,0.0,1.0,1.0
0.19565217391304346,1.0,0.3911756793112725,0.0,1.0,0.0
0.9565217391304348,1.0,0.41700295937584075,0.2,1.0,0.3333333333333333
0.13043478260869568,1.0,0.26472962066182404,0.0,1.0,0.0
0.08695652173913049,1.0,0.5679311272531611,0.4,0.0,0.3333333333333333
0.043478260869565244,0.0,0.3501479687920366,0.0,1.0,0.6666666666666666
0.06521739130434784,1.0,0.5620123755716976,0.0,1.0,0.3333333333333333
0.17391304347826086,0.0,0.4907183212267958,0.4,1.0,0.0
0.26086956521739135,0.0,0.334140435835351,0.2,0.0,0.3333333333333333
0.6086956521739131,0.0,0.8638687113263384,0.4,1.0,1.0
0.19565217391304346,0.0,0.24791498520312072,0.0,1.0,1.0
0.6956521739130435,1.0,0.30925477535647017,0.2,1.0,1.0
0.5434782608695652,1.0,0.511164917944579,0.2,0.0,1.0
0.3913043478260869,1.0,0.34759214420231366,0.6000000000000001,1.0,1.0
0.3913043478260869,1.0,0.48049502286790413,0.2,1.0,0.6666666666666666
0.7826086956521738,1.0,0.4207694377185902,0.0,1.0,0.0
0.19565217391304346,1.0,0.8054882970137207,0.4,1.0,0.0
0.10869565217391308,1.0,0.2300242130750605,0.0,1.0,1.0
0.28260869565217395,1.0,0.29391982781813286,0.2,1.0,1.0
0.02173913043478265,1.0,0.12012375571697598,0.0,1.0,0.6666666666666666
0.4347826086956522,1.0,0.31947807371536185,0.4,1.0,0.6666666666666666
0.28260869565217395,1.0,0.5472154963680386,0.4,0.0,0.0
0.28260869565217395,1.0,0.6330373957492601,0.2,1.0,0.3333333333333333
0.4565217391304348,1.0,0.15846112456281947,0.2,1.0,0.6666666666666666
0.08695652173913049,1.0,0.24791498520312072,0.0,1.0,0.6666666666666666
0.0,1.0,0.2734732311003497,0.0,1.0,1.0
0.08695652173913049,0.0,0.5009416195856873,0.4,1.0,1.0
0.8695652173913044,0.0,0.45749260156039817,0.0,1.0,1.0
0.673913043478261,0.0,0.37570621468926546,0.0,1.0,0.6666666666666666
0.02173913043478265,0.0,0.3723432875975249,0.0,1.0,0.0
